,Parcel ID,county,date,year,month,year-month,price,yr_blt,sf,price_sf,lat,long,GEOID,Sub_geo
15244,052A01120000,"130 GLEN EAGLE WAY Henry County, GA",12/31/18,2018,12,2018-12,429900,1994,3520,122.1306818,33.5000414,-84.2159199,13151070315,McDonough
15253,052A01102000,"103 BLACKHEATH WAY Henry County, GA",5/29/19,2019,5,2019-5,359900,1989,3258,110.4665439,33.500152,-84.2136141,13151070315,McDonough
15255,071E01022000,"230 WINDY CIR Henry County, GA",5/24/21,2021,5,2021-5,280000,2000,2222,126.0126013,33.5001769,-84.1917461,13151070315,McDonough
15256,071E01006000,"252 WINDY CIR Henry County, GA",9/25/20,2020,9,2020-9,250000,2000,2515,99.40357853,33.500188,-84.1938468,13151070315,McDonough
15257,052A01099000,"205 HAWICK LN Henry County, GA",1/7/21,2021,1,2021-1,390000,1990,2840,137.3239437,33.5001904,-84.2144376,13151070315,McDonough
15260,052A01066000,"116 ROYAL BURGESS WAY Henry County, GA",6/2/22,2022,6,2022-6,620000,1994,3685,168.2496608,33.5002381,-84.2149935,13151070315,McDonough
15265,051F01029000,"434 WINGED FOOT DR Henry County, GA",11/18/20,2020,11,2020-11,780000,1996,4885,159.6724667,33.5002693,-84.2100524,13151070315,McDonough
15266,051F01036000,"408 CASTLE ROCK Henry County, GA",9/26/18,2018,9,2018-9,419900,1999,3234,129.8392084,33.5002755,-84.2078493,13151070315,McDonough
15268,052A01119000,"128 GLEN EAGLE WAY Henry County, GA",8/12/20,2020,8,2020-8,499900,1993,2830,176.6431095,33.5002957,-84.2162287,13151070315,McDonough
15269,052A01085000,"166 GLEN EAGLE WAY Henry County, GA",11/15/21,2021,11,2021-11,565000,2000,4177,135.2645439,33.5003176,-84.2128109,13151070315,McDonough
15275,051F01132000,"624 HEATHER GLN Henry County, GA",7/9/18,2018,7,2018-7,360000,2000,3125,115.2,33.5003606,-84.2045343,13151070315,McDonough
15276,051F01133000,"622 HEATHER GLN Henry County, GA",12/20/22,2022,12,2022-12,620000,2000,3008,206.1170213,33.5003837,-84.2050285,13151070315,McDonough
15277,071E01021000,"504 HILLY CT Henry County, GA",2/28/20,2020,2,2020-2,206000,2000,2469,83.4345889,33.5003873,-84.1915814,13151070315,McDonough
15278,051F01216000,"719 BETHPAGE DR Henry County, GA",10/30/20,2020,10,2020-10,629000,2005,4274,147.1689284,33.5004103,-84.2023311,13151070315,McDonough
